section,experiment,dimension,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,drop_from_sample_pts
ablation,Full,valence,92.64062441885471,4.4753831450286565,91.5815533607045,5.157755880003018,
ablation,Full,arousal,92.35937438905239,4.360887068205686,91.69855275930924,4.383510458798187,
ablation,w/o self-attn,valence,93.32812435925007,3.977936250655804,92.5647604974202,4.298970353809346,
ablation,w/o self-attn,arousal,92.749999538064,4.40968414791976,92.17984174142683,4.570598233040569,
ablation,w/o channel-attn,valence,90.12499950826168,6.200112982026278,89.04066170124696,6.492398120820566,
ablation,w/o channel-attn,arousal,90.18749974668026,5.622916858603694,89.52355797361372,5.490983428650294,
ablation,w/o both,valence,90.01562431454659,6.639558363338756,88.76655727111364,7.346132347954567,
ablation,w/o both,arousal,89.60937447845936,5.90796550670927,88.83266414364228,5.832978093118264,
protocol,Sample-level split,valence,92.64062441885471,4.4753831450286565,91.5815533607045,5.157755880003018,
protocol,Sample-level split,arousal,92.35937438905239,4.360887068205686,91.69855275930924,4.383510458798187,
protocol,Trial-level split,valence,56.968750059604645,7.695054840237732,48.604200807364116,4.5192018880075375,
protocol,Trial-level split,arousal,54.31250028312206,9.59960067870876,46.37506331234891,5.28121703446382,
protocol,drop_trial_vs_sample,valence,35.67187435925007,,,,35.67187435925007
protocol,drop_trial_vs_sample,arousal,38.04687410593033,,,,38.04687410593033
