experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,source_csv
ablation_s01_s08,no_both,s01,arousal,1,0.9624999761581421,0.1043519675731659,0.9624999761581421,0.17960911989212036,150,34,46,33,47,33,47,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,2,0.9624999761581421,0.08955095708370209,0.987500011920929,0.07664700597524643,140,40,40,39,41,41,39,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,3,1.0,0.013223066926002502,1.0,0.07397662103176117,157,25,55,25,55,25,55,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,4,0.9750000238418579,0.05386579781770706,1.0,0.028291907161474228,196,34,46,32,48,34,46,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,5,0.9750000238418579,0.07599031180143356,1.0,0.017985878512263298,197,37,43,39,41,37,43,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,6,0.987500011920929,0.053848445415496826,0.987500011920929,0.07844182848930359,178,30,50,31,49,29,51,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,7,0.9624999761581421,0.08740348368883133,0.9750000238418579,0.0824599415063858,183,27,53,26,54,25,55,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,8,0.949999988079071,0.19429618120193481,0.9624999761581421,0.18475459516048431,186,37,43,35,45,36,44,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,9,0.9750000238418579,0.1048738956451416,0.987500011920929,0.10094895958900452,192,27,53,27,53,26,54,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,10,1.0,0.031090131029486656,1.0,0.06788280606269836,155,29,51,29,51,29,51,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s02,arousal,1,0.8999999761581421,0.23031780123710632,0.9125000238418579,0.24568407237529755,197,19,61,25,55,22,58,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,2,0.8999999761581421,0.33695870637893677,0.9125000238418579,0.32003843784332275,199,35,45,33,47,32,48,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,3,0.8624999523162842,0.32270491123199463,0.875,0.3783237934112549,168,30,50,25,55,26,54,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,4,0.8125,0.5074840188026428,0.8125,0.5074840188026428,200,40,40,43,37,43,37,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,5,0.7999999523162842,0.43925797939300537,0.862500011920929,0.37043410539627075,198,36,44,50,30,45,35,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,6,0.824999988079071,0.3919640779495239,0.875,0.44777384400367737,170,32,48,18,62,32,48,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,7,0.8500000238418579,0.3966849446296692,0.875,0.35225772857666016,194,26,54,28,52,26,54,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,8,0.7625000476837158,0.4744040369987488,0.8500000238418579,0.49698615074157715,176,29,51,36,44,25,55,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,9,0.8250000476837158,0.45475688576698303,0.8374999761581421,0.5876058340072632,119,28,52,22,58,15,65,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s02,arousal,10,0.75,0.7496444582939148,0.7999999523162842,0.5826588273048401,165,45,35,39,41,49,31,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s02_summary.csv
ablation_s01_s08,no_both,s03,arousal,1,1.0,0.003404413815587759,1.0,0.051508620381355286,138,65,15,65,15,65,15,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,2,0.9750000238418579,0.1794673204421997,0.987500011920929,0.1076502725481987,198,72,8,74,6,73,7,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,3,0.949999988079071,0.2599196434020996,0.9750000238418579,0.21120798587799072,119,54,26,58,22,56,24,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,4,0.9624999761581421,0.18861794471740723,0.9750000238418579,0.08301319926977158,160,64,16,67,13,66,14,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,5,0.949999988079071,0.22338064014911652,0.987500011920929,0.1002407968044281,172,63,17,67,13,64,16,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,6,0.987500011920929,0.04632475972175598,0.987500011920929,0.044785432517528534,139,72,8,73,7,73,7,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,7,1.0,0.007014915347099304,1.0,0.0978909432888031,128,64,16,64,16,64,16,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,8,0.987500011920929,0.12243303656578064,0.987500011920929,0.1415315568447113,118,65,15,66,14,66,14,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,9,0.8999999761581421,0.5882593393325806,0.9500000476837158,0.240412175655365,178,63,17,71,9,67,13,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s03,arousal,10,0.949999988079071,0.37589702010154724,0.949999988079071,0.22794285416603088,154,58,22,62,18,62,18,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s03_summary.csv
ablation_s01_s08,no_both,s04,arousal,1,0.7374999523162842,0.556000292301178,0.8374999761581421,0.42255496978759766,194,49,31,34,46,54,26,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,2,0.8125,0.4742264151573181,0.862500011920929,0.41110843420028687,147,47,33,48,32,54,26,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,3,0.824999988079071,0.4341696798801422,0.8624999523162842,0.4162743091583252,166,44,36,42,38,47,33,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,4,0.875,0.3097664415836334,0.9249999523162842,0.28145965933799744,180,51,29,45,35,49,31,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,5,0.7999999523162842,0.42475929856300354,0.8500000238418579,0.4189968705177307,183,44,36,44,36,42,38,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,6,0.875,0.3600422143936157,0.9124999642372131,0.375644326210022,157,45,35,47,33,48,32,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,7,0.8999999761581421,0.2965851426124573,0.9375,0.2660287320613861,166,46,34,46,34,49,31,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
ablation_s01_s08,no_both,s04,arousal,8,0.8374999761581421,0.28711986541748047,0.875,0.46147269010543823,188,55,25,56,24,63,17,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s04_summary.csv
