experiment_group,result_root,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
ablation_s01_s08,no_both,s01,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.975000,0.015811,0.986250,0.014197,1
ablation_s01_s08,no_both,s01,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.967500,0.018708,0.978750,0.013750,1
ablation_s01_s08,no_both,s02,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.828750,0.048428,0.861250,0.035554,1
ablation_s01_s08,no_both,s02,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.780000,0.072500,0.808750,0.085705,1
ablation_s01_s08,no_both,s03,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.966250,0.029074,0.980000,0.016956,1
ablation_s01_s08,no_both,s03,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.946250,0.029607,0.971250,0.019405,1
ablation_s01_s08,no_both,s04,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.838750,0.046250,0.887500,0.033541,1
ablation_s01_s08,no_both,s04,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.800000,0.041458,0.841250,0.041477,1
ablation_s01_s08,no_both,s05,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.830000,0.070755,0.890000,0.036142,1
ablation_s01_s08,no_both,s05,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.921250,0.023750,0.946250,0.022396,1
ablation_s01_s08,no_both,s06,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.860000,0.032500,0.893750,0.037604,1
ablation_s01_s08,no_both,s06,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.900000,0.030104,0.915000,0.034369,1
ablation_s01_s08,no_both,s07,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.923750,0.036848,0.948750,0.018916,1
ablation_s01_s08,no_both,s07,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.942500,0.033634,0.965000,0.027839,1
ablation_s01_s08,no_both,s08,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.946250,0.018583,0.967500,0.010000,1
ablation_s01_s08,no_both,s08,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.943750,0.017002,0.960000,0.014577,1
