experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,source_csv
ablation_s01_s08,no_both,s01,arousal,1,0.987500011920929,0.05110243707895279,0.987500011920929,0.06647752970457077,159,34,46,33,47,35,45,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,2,0.9750000238418579,0.05300666019320488,0.987500011920929,0.054503656923770905,183,40,40,40,40,41,39,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,3,0.987500011920929,0.03781022131443024,0.987500011920929,0.07058155536651611,173,25,55,26,54,26,54,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,4,0.9750000238418579,0.058425404131412506,0.987500011920929,0.10247761756181717,139,34,46,34,46,35,45,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,5,0.9624999761581421,0.07136058062314987,0.9750000238418579,0.08664724230766296,166,37,43,38,42,35,45,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,6,0.949999988079071,0.13215596973896027,0.9750000238418579,0.14576393365859985,188,30,50,32,48,30,50,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,7,0.9624999761581421,0.07867810130119324,0.9750000238418579,0.09818227589130402,171,27,53,26,54,27,53,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,8,0.9375,0.2537221908569336,0.9750000238418579,0.15148691833019257,191,37,43,32,48,35,45,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,9,0.9750000238418579,0.09165064990520477,0.987500011920929,0.08573160320520401,142,27,53,25,55,28,52,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
ablation_s01_s08,no_both,s01,arousal,10,0.9750000238418579,0.03847845643758774,0.987500011920929,0.13108684122562408,141,29,51,29,51,28,52,0,0.5,0,0,0,0,experiments/ablation_s01_s08/no_both/arousal/s01_summary.csv
