experiment_group,result_root,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
ablation_s01_s08,no_both,s01,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.968750,0.015052,0.982500,0.006124,1
ablation_s01_s08,no_both,s01,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.956250,0.023218,0.983750,0.014843,1
ablation_s01_s08,no_both,s02,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.767500,0.065000,0.825000,0.039131,1
ablation_s01_s08,no_both,s03,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.946250,0.020954,0.961250,0.024012,1
ablation_s01_s08,no_both,s04,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.806250,0.028090,0.840000,0.033448,1
ablation_s01_s08,no_both,s05,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.922500,0.036997,0.945000,0.025125,1
ablation_s01_s08,no_both,s06,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.901250,0.036422,0.928750,0.023083,1
ablation_s01_s08,no_both,s07,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.950000,0.017678,0.975000,0.017678,1
ablation_s01_s08,no_both,s08,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.938750,0.025890,0.963750,0.022673,1
ablation_s01_s08,no_channel_attention,s01,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.971250,0.015861,0.983750,0.014843,1
ablation_s01_s08,no_channel_attention,s01,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.953750,0.027979,0.972500,0.018371,1
ablation_s01_s08,no_channel_attention,s02,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.815000,0.058041,0.850000,0.034911,1
ablation_s01_s08,no_channel_attention,s02,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.803750,0.043679,0.825000,0.039922,1
ablation_s01_s08,no_channel_attention,s03,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.972500,0.016583,0.986250,0.011792,1
ablation_s01_s08,no_channel_attention,s03,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.946250,0.021687,0.968750,0.013975,1
ablation_s01_s08,no_channel_attention,s04,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.865000,0.038649,0.886250,0.033750,1
