experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,source_csv
strict_200ep_full,arousal,s01,arousal,1,0.987500011920929,0.0413377173244953,1.0,0.0150872487574815,173,34,46,33,47,34,46,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,2,0.987500011920929,0.0889641121029853,0.987500011920929,0.2573548555374145,86,40,40,39,41,39,41,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,3,1.0,0.0027775466442108,1.0,0.0197510905563831,140,25,55,25,55,25,55,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,4,0.975000023841858,0.0373073890805244,1.0,0.0261930748820304,175,34,46,34,46,34,46,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,5,0.987500011920929,0.0232926271855831,0.987500011920929,0.0576786659657955,153,37,43,38,42,36,44,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,6,0.962499976158142,0.115332081913948,0.975000023841858,0.0974771678447723,130,30,50,29,51,28,52,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,7,0.962499976158142,0.0760078728199005,0.987500011920929,0.0713674277067184,196,27,53,26,54,28,52,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,8,0.8999999761581421,0.3028828203678131,0.987500011920929,0.0626320466399192,155,37,43,29,51,36,44,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,9,0.975000023841858,0.0380660109221935,0.987500011920929,0.0279780738055706,188,27,53,27,53,26,54,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
strict_200ep_full,arousal,s01,arousal,10,0.987500011920929,0.053614005446434,0.987500011920929,0.1008787602186203,102,29,51,28,52,28,52,0,0.5,0,0,experiments/strict_200ep_full/arousal/s01_summary.csv
