experiment_group,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
strict_200ep_full,s01,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9725,0.026693,0.99,0.0075,1
strict_200ep_full,s01,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.975,0.017678,0.98875,0.01305,1
strict_200ep_full,s02,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.855,0.039607,0.88875,0.032811,1
strict_200ep_full,s02,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.8725,0.045,0.90625,0.025769,1
strict_200ep_full,s03,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.975,0.016771,0.98625,0.011792,1
strict_200ep_full,s03,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95375,0.014843,0.975,0.009682,1
strict_200ep_full,s04,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.86375,0.04625,0.9025,0.02894,1
strict_200ep_full,s04,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.84125,0.033564,0.88,0.026926,1
strict_200ep_full,s05,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9175,0.037997,0.95625,0.02183,1
strict_200ep_full,s05,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.94,0.024238,0.96,0.018371,1
strict_200ep_full,s06,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.91,0.041003,0.9425,0.028062,1
strict_200ep_full,s06,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.90875,0.039941,0.945,0.02031,1
strict_200ep_full,s07,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.93125,0.029182,0.9575,0.017854,1
strict_200ep_full,s07,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95875,0.029607,0.9825,0.018708,1
strict_200ep_full,s08,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96375,0.015258,0.97625,0.01305,1
strict_200ep_full,s08,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96125,0.02528,0.9775,0.020767,1
strict_200ep_full,s09,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.89875,0.036422,0.92375,0.031844,1
strict_200ep_full,s09,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.925,0.029047,0.94875,0.02589,1
strict_200ep_full,s10,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96375,0.02125,0.9775,0.014577,1
strict_200ep_full,s10,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.98125,0.011524,0.98875,0.00875,1
strict_200ep_full,s11,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.78375,0.041098,0.82625,0.02875,1
strict_200ep_full,s11,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.81875,0.04002,0.84625,0.03875,1
strict_200ep_full,s12,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9125,0.044371,0.9525,0.037832,1
strict_200ep_full,s12,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.875,0.030619,0.9225,0.024238,1
strict_200ep_full,s13,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.92,0.033634,0.94875,0.024012,1
strict_200ep_full,s13,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.87,0.03221,0.9175,0.02031,1
strict_200ep_full,s14,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.88,0.046165,0.9075,0.042279,1
strict_200ep_full,s14,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.89625,0.033096,0.9175,0.031721,1
strict_200ep_full,s15,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96875,0.028641,0.985,0.010897,1
strict_200ep_full,s15,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96875,0.012809,0.98125,0.015052,1
strict_200ep_full,s16,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.96625,0.025031,0.98375,0.018583,1
strict_200ep_full,s16,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95625,0.035466,0.9775,0.021506,1
strict_200ep_full,s17,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.8575,0.035,0.8825,0.023184,1
strict_200ep_full,s17,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.83125,0.032234,0.8625,0.036228,1
strict_200ep_full,s18,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9025,0.025495,0.93375,0.024399,1
strict_200ep_full,s18,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9125,0.047762,0.93375,0.040716,1
strict_200ep_full,s19,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95875,0.03013,0.97875,0.029074,1
strict_200ep_full,s19,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.97625,0.024012,0.98625,0.018916,1
strict_200ep_full,s20,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.98,0.011456,0.9875,0.01118,1
strict_200ep_full,s20,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9825,0.016008,0.9875,0.0125,1
strict_200ep_full,s21,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9575,0.023848,0.97875,0.016817,1
strict_200ep_full,s21,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.89,0.046704,0.92125,0.034483,1
strict_200ep_full,s22,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.93625,0.033284,0.9625,0.023049,1
strict_200ep_full,s22,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.9325,0.029686,0.96,0.020767,1
strict_200ep_full,s23,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.95875,0.03115,0.98,0.013919,1
strict_200ep_full,s23,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.97,0.018708,0.985,0.013463,1
strict_200ep_full,s24,arousal,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.97625,0.015258,0.9925,0.008292,1
strict_200ep_full,s24,valence,0.5,0,1 2 3 4 5 6 7 8 9 10,10,0.94125,0.025648,0.965,0.019203,1
