fold,test_loss,test_accuracy,true_count_0,true_count_1,pred_count_0,pred_count_1,cm_00,cm_01,cm_10,cm_11,best_epoch,best_test_loss,best_test_accuracy,best_pred_count_0,best_pred_count_1,best_cm_00,best_cm_01,best_cm_10,best_cm_11,standardize,standardize_mean,standardize_std,train_phase_train,disable_dropout,train_keep_prob,protocol,dimension,subject,macro_f1,best_macro_f1,use_channel_attention,use_self_attention,split_protocol,train_split_units,test_split_units
1,0.1035570427775383,0.975000023841858,41,39,43,37,41,0,2,37,153,0.0824416130781173,0.975000023841858,41,39,40,1,1,38,0,,,0,0,0.5,Sample-level,valence,s01,0.974937343358396,0.9749843652282677,,,,,
2,0.0333661660552024,0.987500011920929,47,33,48,32,47,0,1,32,151,0.0191907435655593,1.0,47,33,47,0,0,33,0,,,0,0,0.5,Sample-level,valence,s01,0.9870445344129555,1.0,,,,,
3,0.1262986361980438,0.9375,34,46,37,43,33,1,4,42,140,0.0937540978193283,0.987500011920929,33,47,33,1,0,46,0,,,0,0,0.5,Sample-level,valence,s01,0.9366988447539167,0.9871609693468143,,,,,
4,0.0109473718330264,1.0,43,37,43,37,43,0,0,37,192,0.0199624355882406,1.0,43,37,43,0,0,37,0,,,0,0,0.5,Sample-level,valence,s01,1.0,1.0,,,,,
5,0.0807655975222587,0.975000023841858,40,40,38,42,38,2,0,40,137,0.0262000672519207,1.0,40,40,40,0,0,40,0,,,0,0,0.5,Sample-level,valence,s01,0.9749843652282677,1.0,,,,,
6,0.047765627503395,0.975000023841858,43,37,43,37,42,1,1,36,137,0.0844580605626106,0.987500011920929,44,36,43,0,1,36,0,,,0,0,0.5,Sample-level,valence,s01,0.9748585795097423,0.9874035584947252,,,,,
7,0.1175333857536315,0.962499976158142,37,43,40,40,37,0,3,40,91,0.1430912315845489,0.975000023841858,37,43,36,1,1,42,0,,,0,0,0.5,Sample-level,valence,s01,0.9624471913628541,0.9748585795097423,,,,,
8,0.0106768440455198,1.0,42,38,42,38,42,0,0,38,111,0.0574074424803257,1.0,42,38,42,0,0,38,0,,,0,0,0.5,Sample-level,valence,s01,1.0,1.0,,,,,
9,0.1079152002930641,0.975000023841858,47,33,45,35,45,2,0,33,178,0.0226748846471309,1.0,47,33,47,0,0,33,0,,,0,0,0.5,Sample-level,valence,s01,0.9744245524296675,1.0,,,,,
10,0.1147160083055496,0.962499976158142,46,34,43,37,43,3,0,34,175,0.1781401336193084,0.962499976158142,43,37,43,3,0,34,0,,,0,0,0.5,Sample-level,valence,s01,0.96201930685235,0.96201930685235,,,,,
