experiment_group,result_root,subject,dimension,fold,test_accuracy,test_loss,best_test_accuracy,best_test_loss,best_epoch,true_count_0,true_count_1,pred_count_0,pred_count_1,best_pred_count_0,best_pred_count_1,disable_dropout,train_keep_prob,standardize,train_phase_train,use_channel_attention,use_self_attention,split_protocol,train_split_units,test_split_units,source_csv
trial_level_s01_s08,full_acrnn,s01,arousal,1,0.44999998807907104,3.917041301727295,0.625,0.6808695793151855,1,60,100,38,122,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,arousal,2,0.4312500059604645,3.8491737842559814,0.5,0.6979905962944031,1,80,80,79,81,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,arousal,3,0.643750011920929,1.5507643222808838,0.7124999761581421,1.4925658702850342,178,60,100,59,101,42,118,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,arousal,4,0.7875000238418579,0.7216780781745911,0.8062499761581421,0.8528319597244263,196,40,120,26,134,19,141,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s01_summary.csv
trial_level_s01_s08,full_acrnn,s01,arousal,5,0.5375000238418579,3.0281434059143066,0.6000000238418579,2.1113176345825195,192,80,80,30,130,56,104,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s01_summary.csv
trial_level_s01_s08,full_acrnn,s02,arousal,1,0.5874999761581421,1.4666619300842285,0.612500011920929,0.7911492586135864,136,80,80,70,90,100,60,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,arousal,2,0.3687500059604645,2.640949249267578,0.6312500238418579,0.6978322863578796,74,60,100,85,75,5,155,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,arousal,3,0.65625,1.0716145038604736,0.75,0.6726136803627014,1,40,120,31,129,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,arousal,4,0.46875,1.9083889722824097,0.625,0.6759584546089172,1,60,100,57,103,0,160,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s02_summary.csv
trial_level_s01_s08,full_acrnn,s02,arousal,5,0.65625,1.1893894672393799,0.699999988079071,0.909311056137085,183,80,80,41,119,68,92,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s02_summary.csv
trial_level_s01_s08,full_acrnn,s03,arousal,1,0.7999999523162842,1.4759668111801147,0.875,0.6278961896896362,1,140,20,148,12,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,arousal,2,0.737500011920929,3.103759288787842,0.75,0.6254265904426575,1,120,40,158,2,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,arousal,3,0.6937500238418579,2.1004064083099365,0.875,0.5814739465713501,1,140,20,131,29,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,arousal,4,0.737500011920929,3.002239942550659,0.75,0.6241090297698975,1,120,40,158,2,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s03_summary.csv
trial_level_s01_s08,full_acrnn,s03,arousal,5,0.75,2.8429577350616455,0.75,0.6373072862625122,1,120,40,160,0,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s03_summary.csv
trial_level_s01_s08,full_acrnn,s04,arousal,1,0.4000000059604645,3.0260839462280273,0.4312499761581421,3.7232155799865723,199,60,100,110,50,131,29,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,arousal,2,0.625,1.2735930681228638,0.75,0.6724822521209717,2,120,40,88,72,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,arousal,3,0.6499999761581421,1.5506494045257568,0.7125000357627869,0.6128105521202087,63,100,60,130,30,126,34,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,arousal,4,0.4937499761581421,2.1928343772888184,0.768750011920929,0.6495134234428406,46,120,40,69,91,157,3,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s04_summary.csv
trial_level_s01_s08,full_acrnn,s04,arousal,5,0.6812499761581421,1.4497509002685547,0.7437499761581421,0.6808589696884155,65,80,80,121,39,119,41,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s04_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,1,0.36250001192092896,3.410675287246704,0.6124999523162842,1.4117071628570557,177,140,20,38,122,90,70,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,2,0.3687500059604645,2.2716426849365234,0.625,0.6920243501663208,35,100,60,57,103,160,0,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,3,0.43125003576278687,1.5374932289123535,0.5499999523162842,0.7035812139511108,97,80,80,93,67,146,14,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,4,0.20000001788139343,4.1435651779174805,0.3499999940395355,2.2131800651550293,141,20,140,110,50,84,76,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s05,arousal,5,0.5437500476837158,1.7206401824951172,0.6187499761581421,1.3269593715667725,162,80,80,109,51,115,45,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s05_summary.csv
trial_level_s01_s08,full_acrnn,s06,arousal,1,0.5062500238418579,1.7959611415863037,0.7124999761581421,0.6360165476799011,80,100,60,51,109,118,42,0,0.5,0,0,1,1,trial,32,8,experiments/trial_level_s01_s08/full_acrnn/arousal/s06_summary.csv
