experiment_group,result_root,subject,dimension,train_keep_prob,disable_dropout,folds,n_folds,mean_accuracy,std_accuracy,mean_best_accuracy,std_best_accuracy,source_csv_count
trial_level_s01_s08,full_acrnn,s01,arousal,0.5,0,1 2 3 4 5,5,0.570000,0.132252,0.648750,0.103863,1
trial_level_s01_s08,full_acrnn,s01,valence,0.5,0,1 2 3 4 5,5,0.583750,0.121102,0.688750,0.075146,1
trial_level_s01_s08,full_acrnn,s02,arousal,0.5,0,1 2 3 4 5,5,0.547500,0.112611,0.663750,0.052797,1
trial_level_s01_s08,full_acrnn,s02,valence,0.5,0,1 2 3 4 5,5,0.473750,0.047335,0.586250,0.045484,1
trial_level_s01_s08,full_acrnn,s03,arousal,0.5,0,1 2 3 4 5,5,0.743750,0.034004,0.800000,0.061237,1
trial_level_s01_s08,full_acrnn,s03,valence,0.5,0,1 2 3 4 5,5,0.518750,0.094456,0.712500,0.106434,1
trial_level_s01_s08,full_acrnn,s04,arousal,0.5,0,1 2 3 4 5,5,0.570000,0.106316,0.681250,0.126306,1
trial_level_s01_s08,full_acrnn,s04,valence,0.5,0,1 2 3 4 5,5,0.558750,0.061568,0.656250,0.091173,1
trial_level_s01_s08,full_acrnn,s05,arousal,0.5,0,1 2 3 4 5,5,0.381250,0.111594,0.551250,0.104163,1
trial_level_s01_s08,full_acrnn,s05,valence,0.5,0,1 2 3 4 5,5,0.566250,0.109159,0.667500,0.136611,1
trial_level_s01_s08,full_acrnn,s06,arousal,0.5,0,1 2 3 4 5,5,0.501250,0.019922,0.643750,0.058896,1
trial_level_s01_s08,full_acrnn,s06,valence,0.5,0,1 2 3 4 5,5,0.710000,0.115623,0.758750,0.116565,1
trial_level_s01_s08,full_acrnn,s07,arousal,0.5,0,1 2 3 4 5,5,0.551250,0.132488,0.625000,0.111803,1
trial_level_s01_s08,full_acrnn,s07,valence,0.5,0,1 2 3 4 5,5,0.661250,0.067708,0.710000,0.057091,1
trial_level_s01_s08,full_acrnn,s08,arousal,0.5,0,1 2 3 4 5,5,0.480000,0.173719,0.593750,0.138180,1
trial_level_s01_s08,full_acrnn,s08,valence,0.5,0,1 2 3 4 5,5,0.485000,0.120260,0.667500,0.092820,1
trial_level_smoke,full_acrnn,s01,valence,0.5,0,1,1,0.500000,0.000000,0.500000,0.000000,1
